solution,estimand,primary_estimand,expression,consistency,coverage,pri
conservative,unweighted,True,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9171981378880848,0.6425225965208381,0.7390555546992503
conservative,firm_population,False,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9167678655865031,0.633399638683807,0.7304872273153189
conservative,equal_country,False,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9173553937951466,0.6304764864189779,0.7342960903882658
parsimonious,unweighted,True,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9171981378880848,0.6425225965208381,0.7390555546992503
parsimonious,firm_population,False,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9167678655865031,0.633399638683807,0.7304872273153189
parsimonious,equal_country,False,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9173553937951466,0.6304764864189779,0.7342960903882658
intermediate,unweighted,True,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9171981378880848,0.6425225965208381,0.7390555546992503
intermediate,firm_population,False,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9167678655865031,0.633399638683807,0.7304872273153189
intermediate,equal_country,False,DIG*HC*FIN*EXTK + DIG*HC*INT,0.9173553937951466,0.6304764864189779,0.7342960903882658
